"School System & School","...2","# Tested","% Tested","Total","ERW","Math"
"Alamance-Burlington Schools",NA,"757","49.2","1049","528","521"
"303","Alamance-Burlington Middle/Ear","<10","*","*","*","*"
"324","Eastern Alamance High","124","47.3","1076","538","538"
"348","Graham High","104","64.599999999999994","928","463","465"
"360","Hugh M Cummings High","59","30.9","972","481","491"
"388","Southern High","156","46.4","1068","543","525"
"396","Walter M Williams High","142","55.7","1038","526","512"
"400","Western Alamance High","163","53.4","1118","565","554"
"Alexander County Schools",NA,"99","28.9","1114","562","552"
"302","Alexander Central High","99","28.9","1114","562","552"
"Alleghany County Schools",NA,"20","23.5","1147","563","584"
"304","Alleghany High","20","23.5","1147","563","584"
"Anson County Schools",NA,"141","57.8","957","489","468"
"304","Anson Co. Early College High","50","67.599999999999994","1001","518","483"
"305","Anson Academy","<10","*","*","*","*"
"306","Anson High School","90","58.4","935","474","461"
"Ashe County Schools",NA,"83","42.6","1085","544","541"
"302","Ashe County High","83","42.6","1085","544","541"
"Avery County Schools",NA,"20","14.2","1052","528","523"
"302","Avery County High","12","18.2","1070","535","535"
"700","Avery High Stem Academy","<10","*","*","*","*"
"Beaufort County Schools",NA,"185","36.799999999999997","1026","518","508"
"311","Beaufort Co Early College High","15","17.600000000000001","1135","589","545"
"330","Northside High","31","33","1038","519","519"
"339","Southside High","51","45.1","990","485","505"
"342","Washington High","88","42.9","1025","525","500"
"Bertie County Schools",NA,"74","42.8","910","469","441"
"311","Bertie Early College High","27","54","997","525","472"
"312","Bertie High","47","38.200000000000003","860","437","423"
"Bladen County Schools",NA,"104","30.8","951","488","463"
"330","East Bladen High","40","27.2","986","503","483"
"368","West Bladen High","64","33.5","929","478","451"
"Brunswick County Schools",NA,"321","33.9","1081","546","535"
"307","Brunswick County Early College","17","16.2","1233","626","607"
"326","North Brunswick High","85","35.299999999999997","1034","526","508"
"334","South Brunswick High","82","31.4","1095","555","540"
"348","West Brunswick High","137","42.9","1083","544","539"
"Buncombe County Schools",NA,"752","44","1122","566","557"
"303","Community High School","<10","*","*","*","*"
"304","Reynolds High","140","54.1","1141","574","568"
"322","Early College","28","28","1204","612","592"
"323","Middle College","<10","*","*","*","*"
"336","Owen High","80","55.2","1084","548","536"
"340","Erwin High","77","30.3","1027","518","510"
"352","Enka High","89","42","1084","548","535"
"380","North Buncombe High","94","41.4","1106","560","545"
"416","Roberson High","179","50","1160","583","577"
"500","Nesbitt Discovery Academy","59","63.4","1192","593","598"
"Asheville City Schools",NA,"220","70.5","1138","585","553"
"302","Asheville High","150","68.8","1148","589","559"
"700","School Of Inquiry And Life Sci","70","74.5","1116","576","539"
"Burke County Schools",NA,"143","15","1106","549","557"
"310","Burke Middle College","<10","*","*","*","*"
"314","East Burke High","33","14.7","1082","550","532"
"318","Freedom High","49","18.600000000000001","1124","556","567"
"346","Jimmy C Draughn High School","15","10.3","1111","537","575"
"370","Robert L. Patton High School","39","18.7","1104","543","561"
"Cabarrus County Schools",NA,"1301","56.3","1107","557","551"
"307","Cox Mill High School","283","74.3","1130","568","562"
"310","Central Cabarrus High","193","53","1081","550","531"
"314","Concord High","128","46.4","1114","566","548"
"316","Jay M Robinson High","161","54.8","1085","539","546"
"324","Mount Pleasant High","99","48.1","1095","549","546"
"326","Northwest Cabarrus High","143","51.6","1091","543","548"
