school_code,school_name,percent_white,percent_male,percent_eds,percent_swd,title_1,percent_ACTEN_meeting,percent_ACTMA_meeting,percent_ACTRD_meeting,percent_ACTSC_meeting,percent_ACTWR_meeting,percent_ACT_meeting,missed_school_days,region,growth_status,growth_index_score
010324,Eastern Alamance High,0.5774647887323944,0.5563380281690141,0.3380281690140845,0.09154929577464789,N,35.2,21.1,26.4,21.8,26.8,51.1,1,Piedmont-Triad,Not Met,-3.09
010348,Graham High,0.20155038759689922,0.4418604651162791,0.6666666666666666,0.10077519379844961,N,12.2,7.7,13.2,8.5,8.5,31.8,1,Piedmont-Triad,Met,-0.93
010360,Hugh M Cummings High,0.047619047619047616,0.4380952380952381,0.7238095238095238,0.10952380952380952,N,5.7,5.2,6.7,5,8.2,18.1,1,Piedmont-Triad,Met,0.7
010388,Southern Alamance High,0.7129909365558912,0.5347432024169184,0.283987915407855,0.08459214501510574,N,32.6,16,23.3,19.6,16.1,52.9,1,Piedmont-Triad,Met,-1.43
010396,Walter M Williams High,0.3228346456692913,0.5,0.4921259842519685,0.06692913385826772,N,29.5,18.5,16.9,15,22.7,43.7,1,Piedmont-Triad,Exceeded,7.77
010400,Western Alamance High,0.6847826086956522,0.5398550724637681,0.25,0.050724637681159424,N,38.4,25.7,34.1,23.2,25,58,1,Piedmont-Triad,Not Met,-2.82
020302,Alexander Central High,0.8065693430656934,0.5,0.3722627737226277,0.09124087591240876,N,35.1,17.4,22.1,14.2,17.9,51.1,1,Northwest,Met,-1.51
030304,Alleghany High,0.7524752475247525,0.504950495049505,0.5346534653465347,0.08910891089108908,N,29.7,18.8,18.8,13.9,5,43.6,0,Northwest,Met,-1.96
040306,Anson High School,0.30714285714285716,0.5428571428571428,0.42142857142857143,0.10714285714285714,N,8.5,5.7,9.9,6.4,5,20,7,Southwest,Not Met,-5.26
050302,Ashe County High,0.8717948717948718,0.5282051282051282,0.441025641025641,0.05128205128205128,N,36.4,21,28.2,23.1,26.9,53.8,1,Northwest,Not Met,-9.07
060302,Avery County High,0.8902439024390244,0.47560975609756095,0.524390243902439,0.15853658536585366,N,12.2,5,13.4,9.8,8.6,28,1,Northwest,Not Met,-2.71
070330,Northside High,0.71875,0.53125,0.3854166666666667,0.07291666666666663,N,37.5,24,17.7,22.9,23.7,54.2,7,Northeast,Met,-1.68
070330,Northside High,0.71875,0.53125,0.3854166666666667,0.07291666666666663,N,37.5,24,17.7,22.9,23.7,54.2,7,Southeast,Exceeded,4.21
070339,Southside High,0.5121951219512195,0.5365853658536586,0.5121951219512195,0.07317073170731703,N,19.5,9.8,14.6,14.6,12.2,42.7,7,Northeast,Met,-1.08
070342,Washington High,0.39408866995073893,0.4433497536945813,0.5221674876847291,0.06896551724137931,N,21.2,9.9,20.7,9.9,17.8,36.9,7,Northeast,Not Met,-3.05
080312,Bertie High,0.14563106796116504,0.3883495145631068,0.5145631067961165,0.1262135922330097,Y,5,5,5,5,8.3,8.7,3,Northeast,Not Met,-4.31
090330,East Bladen High,0.33490566037735847,0.4669811320754717,0.6886792452830188,0.09433962264150944,N,24.1,8.5,15.6,12.7,8.1,41,13,Sandhills,Met,-0.37
090368,West Bladen High,0.4530386740331492,0.5138121546961326,0.7016574585635359,0.06629834254143646,N,33.7,12.2,24.3,13.3,16.2,44.2,13,Sandhills,Met,-0.6
100326,North Brunswick High,0.5673469387755102,0.5591836734693878,0.5877551020408164,0.07755102040816327,N,33.7,15.1,21.6,16.7,13.5,58.8,13,Southeast,Met,1.84
100334,South Brunswick High,0.7991266375545851,0.537117903930131,0.4890829694323144,0.08733624454148471,N,36.1,16.2,32.3,24,20.3,57.6,13,Southeast,Met,-0.83
100348,West Brunswick High,0.6717791411042945,0.5,0.5552147239263804,0.05214723926380368,N,25.1,16.3,24.8,17.2,17.4,51.5,13,Southeast,Not Met,-3.85
110303,Community High School,0.6666666666666666,0.4444444444444444,0.9629629629629629,0.2592592592592593,N,5,5,5,5,5,5,0,Western,Not Met,-4.79
110304,Reynolds High,0.7137931034482758,0.5379310344827586,0.3275862068965517,0.09655172413793103,N,36.8,26.1,37.5,27.2,34.3,56.6,0,Western,Exceeded,3.26
110336,Owen High,0.8109756097560976,0.5182926829268293,0.42073170731707316,0.09146341463414634,N,51.2,20.1,42.7,17.1,38.5,63.4,0,Western,Exceeded,6.6
110340,Erwin High,0.5914396887159533,0.5291828793774319,0.5136186770428015,0.08560311284046693,N,28.4,21.8,23.7,16.3,23.7,47.9,0,Western,Met,1.28
110352,Enka High,0.7056277056277056,0.4935064935064935,0.47186147186147187,0.09523809523809523,N,38.1,20.8,38.1,20.3,21.3,58,0,Western,Exceeded,12.61
110380,North Buncombe High,0.7946428571428571,0.5178571428571429,0.32142857142857145,0.044642857142857144,N,50.9,35.7,45.5,28.6,33.3,66.5,0,Western,Not Met,-3.22
110416,Roberson High,0.625748502994012,0.5149700598802395,0.30538922155688625,0.0748502994011976,N,51.5,36.5,44.6,31.7,39.8,65.3,0,Western,Met,-0.97
110500,Nesbitt Discovery Academy,0.8297872340425532,0.5212765957446809,0.19148936170212766,0,N,95,91.5,90.4,89.4,84,95,0,Western,Exceeded,6.23
111302,Asheville High,0.7319587628865979,0.5309278350515464,0.1958762886597938,0.05670103092783505,N,66.5,43.8,62.9,49,60.9,79.4,0,Western,Not Met,-4.24
111700,School of Inquiry and Life Sciences,0.5714285714285714,0.4935064935064935,0.3246753246753247,0.07792207792207795,N,61,37.7,59.7,37.7,56.6,76.6,0,Western,Met,1.09
120314,East Burke High,0.815,0.55,0.365,0.075,N,51,21,38.5,20.5,35.4,67.5,0,Northwest,Not Met,-2.49
120318,Freedom High,0.5697211155378487,0.5139442231075697,0.4701195219123506,0.08366533864541832,N,36.3,21.9,31.9,17.5,24.1,52.6,0,Northwest,Exceeded,2.75
120346,Jimmy C Draughn High School,0.8085106382978723,0.5106382978723404,0.36879432624113473,0.06382978723404253,N,52.5,32.6,34,22.7,21.4,64.5,0,Northwest,Not Met,-2.61
120370,Robert L. Patton High School,0.6526946107784432,0.48502994011976047,0.38922155688622756,0.08383233532934131,N,47.3,28.1,39.5,25.1,31.5,63.5,0,Northwest,Exceeded,4.26
130307,Cox Mill High School,0.5776805251641138,0.5185995623632386,0.10722100656455143,0.0525164113785558,N,62.2,52.4,55.8,42.7,59.5,78.8,1,Southwest,Exceeded,4.01
130310,Central Cabarrus High,0.48825065274151436,0.5326370757180157,0.42297650130548303,0.05483028720626632,N,31.5,21.4,25.5,21.1,23.6,48,1,Southwest,Exceeded,3.68
130314,Concord High,0.45104895104895104,0.4405594405594406,0.46503496503496505,0.0944055944055944,N,33.8,21.8,31.4,25.9,31.9,47.6,1,Southwest,Exceeded,5.53
